City,Latitude,Temperature,Longitude,Humidity,Cloudiness,Wind Speed
Siniscola,40.5719,57.2,9.6922,82,40,12.66
Castro,-24.7911,60.8,-50.0119,91,35,7.61
Hambantota,6.1241,75.2,81.1185,94,1,6.91
Mataura,-46.1927,55.63,168.8643,96,100,4.83
Bengkulu,-3.8004,76.71,102.2655,75,78,4.72
East London,-33.0153,67.86,27.9116,76,34,4.54
Coalinga,36.1397,70.0,-120.3602,42,100,1.72
Faanui,-16.4833,81.43,-151.75,76,9,13.35
Salinópolis,-0.6136,79.52,-47.3561,84,62,12.66
Vilhena,-12.7406,78.8,-60.1458,78,20,4.61
Sergeevka,53.88,-7.29,67.4158,89,100,14.25
Tiksi,71.6872,-27.36,128.8694,86,95,3.91
Hong Kong,22.2855,64.99,114.1577,76,97,1.01
Inawashiro,37.5667,26.01,140.1167,63,40,12.66
Dikson,73.5069,-30.78,80.5464,85,71,13.04
George Town,5.4112,80.01,100.3354,88,40,2.3
Ust-Kuyga,70.0167,-19.86,135.6,79,3,4.45
Matara,5.9485,73.44,80.5353,88,63,6.51
Hobart,-42.8794,57.99,147.3294,47,75,13.8
Vaini,-21.2,80.6,-175.2,89,90,13.8
Hithadhoo,-0.6,82.54,73.0833,77,90,10.67
Chernyshevskiy,63.0128,-12.12,112.4714,91,99,2.73
Luanda,-8.8368,78.8,13.2343,78,20,3.44
Busselton,-33.65,59.0,115.3333,99,94,10.33
Omsukchan,62.5333,1.42,155.8,91,100,5.41
Isiro,2.7739,65.19,27.616,37,93,1.5
Kysyl-Syr,63.8986,-26.64,122.7617,83,8,3.04
Leningradskiy,69.3833,-21.37,178.4167,84,82,11.01
Couëron,47.2151,33.8,-1.7217,86,90,3.44
Albany,42.6001,19.0,-73.9662,53,70,1.05
Arraial do Cabo,-22.9661,73.4,-42.0278,94,75,3.87
Mahébourg,-20.4081,77.0,57.7,88,40,3.44
Iquique,-20.2208,73.4,-70.1431,53,0,17.27
Bredasdorp,-34.5322,60.8,20.0403,88,6,2.3
Rikitea,-23.1203,77.86,-134.9692,69,10,4.21
Nikolskoye,59.7035,5.0,30.7861,78,90,6.71
Fort Nelson,58.8053,-16.6,-122.7002,69,75,10.36
Bushenyi,-0.5853,61.63,30.2114,56,83,1.77
Hīt,33.6416,57.7,42.8251,60,90,1.81
Yellowknife,62.456,-27.4,-114.3525,68,90,17.27
Guerrero Negro,27.9769,65.88,-114.0611,51,60,12.66
Hilo,19.7297,80.6,-155.09,61,90,8.05
Yulara,-25.2406,89.6,130.9889,20,60,20.71
Praia da Vitória,38.7333,60.8,-27.0667,72,20,15.26
Norsup,-16.0667,84.18,167.3833,58,2,5.48
St. George's,12.0564,78.8,-61.7485,78,20,21.85
Aktau,43.65,32.0,51.2,86,90,15.66
Saint Paul Harbor,57.79,33.8,-152.4072,60,1,13.8
Tasiilaq,65.6145,23.0,-37.6368,54,90,12.66
Khatanga,71.9667,-16.58,102.5,84,37,11.9
Taoudenni,22.6783,62.74,-3.9836,27,0,9.42
Biryusinsk,55.9634,27.05,97.8235,94,100,5.55
Ostrovnoy,68.0531,3.67,39.5131,89,95,21.45
Katsuura,35.1333,39.0,140.3,31,13,3.0
Iracoubo,5.4802,77.83,-53.2011,78,58,14.74
Rosarito,32.3333,60.8,-117.0333,67,1,9.22
Tuktoyaktuk,69.4541,-41.8,-133.0374,74,1,2.3
Seymchan,62.8833,-9.83,152.4333,88,100,9.46
Batemans Bay,-35.7167,70.0,150.1833,60,66,4.0
Kalmunai,7.4167,75.63,81.8167,82,94,12.48
Upernavik,72.7868,15.48,-56.1549,77,0,5.61
Pevek,69.7008,-11.02,170.3133,79,98,1.5
Utica,43.1009,19.4,-75.2327,45,1,1.43
Atuona,-9.8,79.65,-139.0333,76,92,19.13
Ushuaia,-54.8,64.4,-68.3,45,0,10.36
Chui,-33.6971,64.69,-53.4616,90,89,4.41
Benguela,-12.5763,74.73,13.4055,81,99,2.35
Anadyr,64.75,10.4,177.4833,72,75,13.42
Lagoa,39.05,59.49,-27.9833,76,100,29.21
Cape Town,-33.9258,70.0,18.4232,88,0,21.85
Pouébo,-20.4,84.54,164.5667,60,2,8.05
Longyearbyen,78.2186,14.0,15.6401,44,0,10.36
Comodoro Rivadavia,-45.8667,71.6,-67.5,56,0,5.75
Bluff,-46.6,55.76,168.3333,91,100,12.48
Byron Bay,-28.65,78.8,153.6167,50,40,18.41
Bullhead City,35.1478,75.99,-114.5683,14,75,10.36
Port-Gentil,-0.7193,80.6,8.7815,94,75,4.61
New Norfolk,-42.7826,57.0,147.0587,52,57,1.99
Saint-Philippe,-21.3585,77.0,55.7679,65,0,9.22
Urcos,-13.6861,59.0,-71.6228,55,75,3.44
Adrar,20.5022,60.24,-10.0711,31,9,9.28
Bilibino,68.0546,5.07,166.4372,82,100,7.81
Hualmay,-11.0964,72.07,-77.6139,80,100,9.33
Torbay,47.6666,32.0,-52.7314,100,90,29.93
Neryungri,56.6709,-2.69,124.6491,90,99,0.54
Vágur,61.4732,38.44,-6.8119,75,52,20.56
Ponta do Sol,32.6667,57.99,-17.1,74,23,5.01
Avarua,-21.2078,84.2,-159.775,79,36,8.05
Çumra,37.5732,42.8,32.7745,61,0,3.44
Los Llanos de Aridane,28.6585,64.4,-17.9182,63,75,5.75
Husavik,66.0449,30.2,-17.3389,86,75,6.91
Portland,45.5234,46.4,-122.6762,46,90,0.67
Dicabisagan,17.0818,74.71,122.4157,85,99,14.32
Cockburn Town,21.4612,78.8,-71.1419,73,75,13.8
